subject_name, trial, stimulus_size, input_coordinates, accuracy, "D:03/05/21 T:14:39:28"
null, 1, "(400, 400)", "(640, 512)", passed, "D:03/05/21 T:14:39:30"
null, 2, "(330.0, 330.0)", "(631, 676)", passed, "D:03/05/21 T:14:39:33"
null, 3, "(260.0, 260.0)", "(657, 640)", passed, "D:03/05/21 T:14:39:36"
null, 4, "(190.0, 190.0)", "(661, 576)", passed, "D:03/05/21 T:14:39:38"
null, 5, "(120.0, 120.0)", "(580, 461)", passed, "D:03/05/21 T:14:39:42"
subject_name, trial, stimulus_size, input_coordinates, accuracy, "D:03/05/21 T:14:40:41"
null, 1, "(400, 400)", "(640, 512)", passed, "D:03/05/21 T:14:40:43"
null, 2, "(330.0, 330.0)", "(630, 673)", passed, "D:03/05/21 T:14:40:45"
null, 3, "(260.0, 260.0)", "(639, 634)", passed, "D:03/05/21 T:14:40:47"
subject_name, trial, stimulus_size, input_coordinates, accuracy, "D:03/05/21 T:14:42:25"
null, 1, "(400, 400)", "(640, 512)", passed, "D:03/05/21 T:14:42:27"
null, 2, "(330.0, 330.0)", "(504, 676)", passed, "D:03/05/21 T:14:42:31"
subject_name, trial, stimulus_size, input_coordinates, accuracy, "D:03/05/21 T:14:44:22"
null, 1, "(400, 400)", "(640, 512)", passed, "D:03/05/21 T:14:44:24"
null, 2, "(330.0, 330.0)", "(610, 673)", passed, "D:03/05/21 T:14:44:27"
null, 3, "(260.0, 260.0)", "(517, 635)", passed, "D:03/05/21 T:14:44:30"
null, 4, "(190.0, 190.0)", "(731, 497)", passed, "D:03/05/21 T:14:44:32"
null, 5, "(120.0, 120.0)", "(590, 538)", passed, "D:03/05/21 T:14:44:35"
subject_name, trial, stimulus_size, input_coordinates, accuracy, "D:03/05/21 T:14:49:26"
null, 1, "(400, 400)", "(640, 512)", passed, "D:03/05/21 T:14:49:28"
null, 2, "(330.0, 330.0)", "(585, 675)", passed, "D:03/05/21 T:14:49:38"
null, 3, "(260.0, 260.0)", "(510, 395)", passed, "D:03/05/21 T:14:49:42"
subject_name, trial, stimulus_size, input_coordinates, accuracy, "D:03/05/21 T:14:58:00"
null, 1, "(400, 400)", "(640, 512)", passed, "D:03/05/21 T:14:58:01"
null, 2, "(330.0, 330.0)", "(478, 399)", passed, "D:03/05/21 T:14:58:06"
subject_name, trial, stimulus_size, input_coordinates, accuracy, "D:03/05/21 T:15:18:33"
null, 1, "(400, 400)", "(836, 663)", passed, "D:03/05/21 T:15:18:39"
subject_name, trial, stimulus_size, input_coordinates, accuracy, "D:03/05/21 T:15:19:08"
null, 1, "(400, 400)", "(640, 512)", passed, "D:03/05/21 T:15:19:10"
subject_name, trial, stimulus_size, input_coordinates, accuracy, "D:03/05/21 T:15:20:14"
null, 1, "(400, 400)", "(833, 656)", passed, "D:03/05/21 T:15:20:21"
